Algorithm,InputBytes,KeySetup (s),EncryptTime (s),DecryptTime (s),Throughput (B/s),Entropy (bits),MemoryUsage (MB)
3DES,64,6e-07,9.5e-05,8.9e-05,"695,274",5.882,0.0352
AES-128,64,6e-07,7e-05,5.4e-05,"1,025,641",6.044,0.043
AES-256,64,2e-07,1.1e-05,2.1e-05,"4,025,156",6.022,0.0
AES-GCM,64,3e-07,8.6e-05,7e-06,"1,377,825",5.912,0.7773
Blowfish,64,2e-07,1.3e-05,8e-05,"1,380,798",5.92,0.0039
ChaCha20,64,3e-07,6.9e-05,2.2e-05,"1,408,140",5.75,0.0078
3DES,256,2e-07,7.7e-05,9.5e-05,"2,964,679",7.236,0.0039
AES-128,256,3e-07,9.2e-05,3.3e-05,"4,096,001",7.215,0.0039
AES-256,256,3e-07,1e-05,2.1e-05,"16,623,376",7.164,0.0
AES-GCM,256,2e-07,9e-06,6e-06,"35,068,506",7.122,0.0
Blowfish,256,3e-07,2.4e-05,9e-05,"4,507,043",7.183,0.0
ChaCha20,256,2e-07,4.3e-05,1.3e-05,"9,192,098",7.133,0.0
3DES,1024,3e-07,0.000118,0.000136,"8,069,346",7.799,0.0
AES-128,1024,3e-07,4.6e-05,2.8e-05,"27,713,111",7.805,0.0039
AES-256,1024,2e-07,1.2e-05,2.1e-05,"62,060,571",7.811,0.0
AES-GCM,1024,1e-07,7e-06,5e-06,"169,256,538",7.797,0.0
Blowfish,1024,3e-07,3.4e-05,0.000115,"13,717,350",7.79,0.0
ChaCha20,1024,2e-07,4.1e-05,1.5e-05,"36,702,536",7.781,0.0
3DES,4096,3e-07,0.000325,0.000326,"12,593,390",7.958,0.0
AES-128,4096,4e-07,5.2e-05,3.6e-05,"92,879,786",7.957,0.0
AES-256,4096,2e-07,2.6e-05,4.7e-05,"113,462,655",7.958,0.0
AES-GCM,4096,1e-07,2.3e-05,6e-06,"285,435,103",7.959,0.0078
Blowfish,4096,3e-07,8.3e-05,0.000137,"37,287,203",7.95,0.0039
ChaCha20,4096,3e-07,5e-05,3.7e-05,"94,269,315",7.959,0.0
